379,614,328,655
287,498,221,493
305,466,270,415
421,443,404,380
540,381,480,349
481,324,535,291
435,314,445,250
283,242,278,309
174,234,151,297
129,212,63,230
122,162,63,129
188,133,183,66
331,120,329,56
464,118,471,52
503,124,556,84
517,169,580,145
572,246,600,186
668,238,629,187
653,143,712,168
706,77,753,123
783,123,814,65
802,156,865,170
776,207,829,248
682,306,726,356
601,373,658,412
582,489,647,491
604,638,669,628
642,746,709,734
631,798,671,848
571,808,553,869
514,771,463,808
434,680,382,719
